source_file,n_events,quality_score,richness_score,unique_event_types,behavioral_entropy,high_signal_ratio,class
benign_com.arsenal.geosuper.json,289.0,0.8115,0.8115,9.0,1.7368610066365735,0.0034602076124567,benign
benign_com.alexandrucene.dayhistory.json,261.0,0.8052,0.8052,9.0,1.7249191719945036,0.003831417624521,benign
benign_com.bestweatherfor.bibleoffline_pt_ra.json,499.0,0.8027,0.8027,8.0,1.499694601831966,0.002004008016032,benign
benign_com.whtm.android.weather.json,360.0,0.802,0.802,8.0,1.7755815111413915,0.0027777777777777,benign
benign_cc.pacer.androidapp.json,346.0,0.7961,0.7961,8.0,1.6800484645364957,0.0028901734104046,benign
benign_com.aa2.generaladaptiveapps.json,384.0,0.793,0.793,8.0,1.5188963701359413,0.0026041666666666,benign
benign_com.armobi.recipes.json,337.0,0.7893,0.7893,8.0,1.552258316925803,0.0029673590504451,benign
benign_com.blackbirdwallpapers.hdlivewallpapers.json,294.0,0.784,0.784,8.0,1.5735361883494392,0.0034013605442176,benign
benign_com.andromo.dev128364.app130670.json,320.0,0.7784,0.7784,8.0,1.3578351800430477,0.003125,benign
benign_codematics.universal.tv.remote.control.json,336.0,0.7761,0.7761,8.0,1.4840502768182535,0.0029761904761904,benign
benign_andrewgilman.dartsscoreboard.json,205.0,0.7696,0.7696,8.0,1.7629175115084637,0.0048780487804878,benign
benign_co.brainly.json,201.0,0.7607,0.7607,7.0,1.9313530597730528,0.0,benign
benign_com.aleskovacic.messenger.json,227.0,0.7592,0.7592,8.0,1.6414712167713608,0.0044052863436123,benign
benign_bbc.mobile.news.ww.json,163.0,0.7538,0.7538,7.0,2.183882236594492,0.0,benign
benign_baby.com.BabyBigMouth.json,245.0,0.7503,0.7503,8.0,1.6358773339180483,0.0040816326530612,benign
benign_app.WTInfoTech.WorldAroundMeLite.json,294.0,0.7481,0.7481,8.0,1.4850070726833988,0.0034013605442176,benign
benign_com.aandrill.president.json,286.0,0.7474,0.7474,8.0,1.3239052708024903,0.0034965034965034,benign
benign_com.bktranslator.enlishjapanese.json,200.0,0.7458,0.7458,8.0,1.5380317227087412,0.005,benign
benign_com.amazon.mShop.android.shopping.json,188.0,0.745,0.745,7.0,2.010519715719923,0.0,benign
benign_com.ubercab.json,268.0,0.7437,0.7437,7.0,1.7422188680267077,0.0,benign
benign_com.blackraveninteractive.city.bridal.limo.car.simulator.json,312.0,0.7432,0.7432,8.0,1.3341699649949457,0.0032051282051282,benign
benign_com.chestclash.royalsimulator.json,202.0,0.7408,0.7408,8.0,1.437724996850238,0.0049504950495049,benign
benign_ca.autotrader.userapp.json,222.0,0.7355,0.7355,6.0,1.94822937783018,0.0,benign
benign_com.bigapps.xperror.json,174.0,0.7349,0.7349,8.0,1.5633495289421933,0.0057471264367816,benign
benign_anton.kets.despicableme.json,285.0,0.7323,0.7323,7.0,1.4341582222865044,0.0,benign
benign_com.andrwq.recorder.json,204.0,0.7307,0.7307,8.0,1.4684787974438709,0.0049019607843137,benign
benign_com.candl.athena.json,431.0,0.7299,0.7299,7.0,1.124794684621699,0.0023201856148491,benign
benign_com.urbanclap.urbanclap.json,313.0,0.7289,0.7289,6.0,1.4971375055804652,0.0,benign
benign_com.baloota.dumpster.json,293.0,0.7283,0.7283,7.0,1.5427732547157902,0.0,benign
benign_com.aos.clean.security.android.boost.json,204.0,0.7278,0.7278,7.0,1.9703059166489816,0.0,benign
benign_com.keyideas.indianrailways.json,474.0,0.7264,0.7264,8.0,1.6269294448771163,0.0021097046413502,benign
benign_com.apptoide.free.json,184.0,0.7251,0.7251,7.0,1.7895471803809175,0.0,benign
benign_com.blackbirdwallpapers.inkinwater.json,214.0,0.7248,0.7248,8.0,1.4929811967039843,0.0046728971962616,benign
benign_baby.com.kidsToysReview.json,183.0,0.7235,0.7235,9.0,1.4656624836323304,0.0054644808743169,benign
benign_com.apalon.ringtones.json,246.0,0.7208,0.7208,6.0,1.5325821152859944,0.0,benign
benign_com.chatous.plaza.json,214.0,0.7198,0.7198,6.0,1.8551683164658,0.0,benign
benign_com.cardinalblue.piccollage.google.json,250.0,0.7191,0.7191,6.0,1.5664402255245211,0.0,benign
benign_ca.weddingwire.launcher.json,195.0,0.7183,0.7183,6.0,1.909602875562106,0.0,benign
benign_baby.com.DisneyCarToys.json,186.0,0.7181,0.7181,9.0,1.5047176444141632,0.0053763440860215,benign
benign_business.card.maker.scopic.json,331.0,0.7175,0.7175,8.0,1.5284300804326767,0.0030211480362537,benign
benign_com.bookmark.money.json,311.0,0.7161,0.7161,8.0,1.3998980289066565,0.0032154340836012,benign
benign_com.alaskaairlines.android.json,105.0,0.7159,0.7159,7.0,2.0922994042641903,0.0,benign
benign_ch.smalltech.battery.free.json,173.0,0.7158,0.7158,7.0,1.5841027601167923,0.0057803468208092,benign
benign_baby.com.ToysToSee.json,183.0,0.7126,0.7126,8.0,1.4385269524648792,0.0054644808743169,benign
benign_cm.theme.wallpaper.hola.launcher.json,741.0,0.7111,0.7111,6.0,0.688162204150254,0.0,benign
benign_co.gradeup.android.json,177.0,0.7102,0.7102,6.0,1.839987451832458,0.0,benign
benign_aussie.rules.live.json,282.0,0.708,0.708,5.0,1.791401258168288,0.0,benign
